English Chinese
ablation study 消融实验
actor 智能体
agent 智能体
anchor 锚点或锚框
anneale 退火
aperiodic	非周期的
approximate inference	近似推断
asynchronous 异步
atrous convolution 空洞卷积
back-off 回退
bandit 赌博机/老虎机
batch 批次
belief network 信念网络
bias 偏差/偏置
biased 有偏
bottleneck 瓶颈
channel-wise 沿通道的
confidence 置信度
context 上下文
data augmentation 数据增强
discriminator	判别器
ensemble model 集成模型
epoch 代
fine tune 微调
graph 图
ground truth 真值
homogeneous 齐次
IOU 交并比
monotonous 单调的
multimodal 多模态
non-trivial 非平凡
off-the-shelf 现成的
plane 平面
receptive field 感受野
ROI 感兴趣区域
short connection 跳层连接



